Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИО ЗАПАДНОЙ СИБИРИ""";"АО ""РАДИО ЗАПАДНОЙ СИБИРИ""";Непубличные акционерные общества;625019, ТЮМЕНСКАЯ ОБЛАСТЬ, Г. ТЮМЕНЬ, УЛ. РЕСПУБЛИКИ, Д. 211А, ОФИС 707;1027200799658;7203082280;(3452) 688214;ushakov@rzs.ru;тюменская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИО РЕТРО""";"АО ""РАДИО РЕТРО""";Акционерные общества;109004, Г.МОСКВА, УЛ. СТАНИСЛАВСКОГО, Д.21, СТР.5;1027700181640;7717083677;+7 495 799-97-97;N.Smirnova@emg.fm;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИО, ТЕЛЕВИДЕНИЕ, ТЕЛЕФОН""";"АО ""РТТ""";Публичные акционерные общества;309514, БЕЛГОРОДСКАЯ ОБЛАСТЬ, городской округ СТАРООСКОЛЬСКИЙ, Г СТАРЫЙ ОСКОЛ, УЛ ЛЕНИНА, Д. 71/12;1023102369212;3128005368;+8 (472) 543-49-15;migunov@oskolnet.ru;белгородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИО-СПУТНИК""";"АО ""РАДИО-СПУТНИК""";Непубличные акционерные общества;197376, Г.САНКТ-ПЕТЕРБУРГ, УЛ. ИНСТРУМЕНТАЛЬНАЯ, Д. 3, ЛИТЕР К, ЭТАЖ 1 ПОМЕЩЕНИЕ 9Н, КОМ. 20;1037843097797;7825074006;(812)327-10-78, (499)579-77-09 доб. 1137;yu.ivanova@rr.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИОКОМПАНИЯ ""ВЕКТОР""";"АО РК ""ВЕКТОР""";Непубличные акционерные общества;422980, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), муниципальный район ЧИСТОПОЛЬСКИЙ, Г.П. ГОРОД ЧИСТОПОЛЬ, Г ЧИСТОПОЛЬ, УЛ К.МАРКСА, Д. 135;1021607552284;1652004240;(843 42) 51984;info@vector.ru;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИОСВЯЗЬ""";"АО ""РАДИОСВЯЗЬ""";Непубличные акционерные общества;460961, ОРЕНБУРГСКАЯ ОБЛАСТЬ, Г. ОРЕНБУРГ, УЛ. ДОНГУЗСКАЯ, Д.10;1025601032929;5610011764;+7 (3532) 991-599;info@focus.life;оренбургская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИОСТАНЦИЯ ""ЕВРАЗИЯ-КЛАССИКА""";"АО ""РАДИОСТАНЦИЯ ""ЕВРАЗИЯ-КЛАССИКА""";Акционерные общества;123100, Г.МОСКВА, НАБ. КРАСНОПРЕСНЕНСКАЯ, Д. 8, ЭТАЖ МИНУС 1 ПОМ I КОМН 14;1027739885227;7703008415;+7 (499) 579-77-09;i.shuvalova@rr.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИОТЕЛ САНКТ-ПЕТЕРБУРГ""";"АО ""РАДИОТЕЛ-СПБ""";Акционерные общества;192007, Г.САНКТ-ПЕТЕРБУРГ, НАБ. ОБВОДНОГО КАНАЛА, Д. 62, К. 2 ЛИТЕР Б, ПОМЕЩ. 56;1079847072612;7813395894;+7 812 380-67-77;goszakaz@radiotel.pro;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАКЕТНО-КОСМИЧЕСКИЙ ЦЕНТР ""ПРОГРЕСС""";"АО ""РКЦ ""ПРОГРЕСС""";Публичные акционерные общества;443009, САМАРСКАЯ ОБЛАСТЬ, Г. САМАРА, УЛ. ЗЕМЕЦА, Д. 18;1146312005344;6312139922;(846) 955-13-61;mail@samspace.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАСКОМ""";"АО ""РАСКОМ""";Непубличные акционерные общества;192007, Г.САНКТ-ПЕТЕРБУРГ, УЛ. БОРОВАЯ, Д.57, 436;1027807981035;7816055208;+7 (812) 303-91-70;iknysh@rascom.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАСЧЕТНЫЕ РЕШЕНИЯ""";"АО ""РАСЧЕТНЫЕ РЕШЕНИЯ""";Акционерные общества;119285, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ РАМЕНКИ, КМ МЖД КИЕВСКОЕ 5-Й, Д. 1, СТР. 1, ЭТАЖ 4, КОМ. 64;1107746390949;7727718421;+7 (495) 777-13-27;info@ao-rr.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЕ ИНФОРМАЦИОННЫЕ СЕТИ""";"АО ""РИНЕТ""";Акционерные общества;630102, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г. НОВОСИБИРСК, УЛ. ЯКУШЕВА, Д. 37;1025402475856;5406110839;(383)238-40-03, 347-12-34;sales@risp.ru;новосибирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЙ НАВИГАЦИОННО-ИНФОРМАЦИОННЫЙ ЦЕНТР ПО РЯЗАНСКОЙ ОБЛАСТИ""";"АО ""РНИЦ ПО РЯЗАНСКОЙ ОБЛАСТИ""";Публичные акционерные общества;390000, РЯЗАНСКАЯ ОБЛАСТЬ, Г РЯЗАНЬ, УЛ ЧАПАЕВА, Д. 58, ПОМЕЩ. Н8;1126234014961;6234111370;+7 (4912) 500-767;rnic-rzn@mail.ru;рязанская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЙ РАДИОКАНАЛ""";"АО ""РЕГИОНАЛЬНЫЙ РАДИОКАНАЛ""";Акционерные общества;129164, Г.МОСКВА, ПЕР ЗУБАРЕВ, Д. 15, К. 1, ЭТАЖ 3 ПОМ I КОМН 15;1027739225073;7707248760;+7 (916) 155 48 70;S.Chirkov@krutoymedia.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЙ СЕТЕВОЙ ИНФОРМАЦИОННЫЙ ЦЕНТР""";"АО ""РСИЦ""";Акционерные общества;125315, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ АЭРОПОРТ, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 72, К. 3;1067746823099;7733573894;+7 (495) 009-13-33;adm@nic.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕЛЛАЙН""";"АО ""РЕЛЛАЙН""";Непубличные акционерные общества;129090, Г.МОСКВА, ПЕР ПРОТОПОПОВСКИЙ, Д. 19, СТР. 12, КОМ. 5;1027700330756;7702172300;(495) 256-81-81;adm@relline.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕТННЕТ""";"АО ""РЕТННЕТ""";Непубличные акционерные общества;105064, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, ПЕР НИЖНИЙ СУСАЛЬНЫЙ, Д. 5, СТР. 19;1057747699261;7725545445;+7 (495) 663-16-40;noc@retn.net;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕУТОВ-ТЕЛЕКОМ""";"АО ""РЕУТОВ-ТЕЛЕКОМ""";Непубличные акционерные общества;129366, Г.МОСКВА, УЛ. ЯРОСЛАВСКАЯ, Д. 13А, КОМ. 31;1035008252685;5041013914;+7 495-777-5-999;e.pravdina@tech.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РИАЛ КОМ""";"АО ""РИАЛ КОМ""";Непубличные акционерные общества;142105, МОСКОВСКАЯ ОБЛАСТЬ, Г. ПОДОЛЬСК, УЛ. БОЛЬШАЯ СЕРПУХОВСКАЯ, Д. 48/1;1025007512617;5074018467;+7 925 011-25-04;vgd@rialcom.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РИЕКИ""";"АО ""РИЕКИ""";Акционерные общества;121099, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ АРБАТ, ПЕР ПРОТОЧНЫЙ, Д. 11, ПОМЕЩ. 1/1;1215000080195;5043072489;+7 (989) 776-22-98;info@rieki.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РКС ТЕЛЕКОМ""";"АО ""РКС ТЕЛЕКОМ""";Акционерные общества;187320, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, муниципальный район КИРОВСКИЙ, Г.П. ШЛИССЕЛЬБУРГСКОЕ, Г ШЛИССЕЛЬБУРГ, УЛ ЧЕКАЛОВА, Д. 10, ОФИС 210;1214700017730;4706043525;+7 (812) 244-70-55;info@rks-telecom.ru;ленинградская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСИН.ТЕЛЕКОМ""";"АО""РОСИН.ТЕЛ""";Непубличные акционерные общества;301650, ТУЛЬСКАЯ ОБЛАСТЬ, НОВОМОСКОВСКИЙ Р-Н, Г. НОВОМОСКОВСК, УЛ. КАЛИНИНА, Д. 24Б;1027101416275;7116006212;(48762) 6-69-90;malyshev@rosintel.com;тульская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЦИФРА""";"АО ""РОССЕТИ ЦИФРА""";Публичные акционерные общества;123060, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЩУКИНО, ПРОЕЗД 1-Й ВОЛОКОЛАМСКИЙ, Д. 10, СТР. 3;1027739252496;7705307770;+7 (916) 618-39-22;info@rosseti.digital;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКАЯ КОРПОРАЦИЯ РАКЕТНО-КОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ И ИНФОРМАЦИОННЫХ СИСТЕМ""";"АО ""РОССИЙСКИЕ КОСМИЧЕСКИЕ СИСТЕМЫ""";Акционерные общества;111250, Г.МОСКВА, УЛ. АВИАМОТОРНАЯ, Д.53;1097746649681;7722698789;8 (495) 673-94-30;contact@spacecorp.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";Акционерные общества;109507, Г.МОСКВА, УЛ. ФЕРГАНСКАЯ, Д.25;5087746119951;7721632827;8 (916) 796-88-23;mansimov@rosenergoatom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РС ТЕЛЕКОМ""";"АО ""РС ТЕЛЕКОМ""";Акционерные общества;184606, МУРМАНСКАЯ ОБЛАСТЬ, Г. СЕВЕРОМОРСК, УЛ. КОЛЫШКИНА, Д. 18;1025100712890;5110310639;+7(81537)5-10-10;sds@rstele.ru;мурманская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РТКОММ.РУ""";"АО ""РТКОММ.РУ""";Акционерные общества;108811, Г.МОСКВА, КМ 22-Й (КИЕВСКОЕ Ш.), ДВЛД. 6, СТР. 1;1027739086100;7708126998;(495) 988-77-78;info@rtcomm.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКАЯ ИНФРАСТРУКТУРНАЯ КОМПАНИЯ""";"АО ""РИК""";Акционерные общества;115114, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, УЛ ЛЕТНИКОВСКАЯ, Д. 2, СТР. 1, ЭТАЖ 4, ОФИС 401-403;1227700647613;9705179882;+7 495 741-10-81;info@ric-telecom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЕ БАШНИ""";"АО ""РУССКИЕ БАШНИ""";Акционерные общества;107078, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, УЛ МАШИ ПОРЫВАЕВОЙ, Д. 34, ЭТАЖ/ПОМЕЩ. 4/III, КОМ. 73;1097746155968;7708698177;8-495-967-32-32;nina@telekom-24.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ ВОСТОК""";"АО ""РУССКИЙ ВОСТОК""";Публичные акционерные общества;681016, ХАБАРОВСКИЙ КРАЙ, Г. КОМСОМОЛЬСК-НА-АМУРЕ, УЛ. КИРОВА, Д.2, --, 85;1022700523350;2727023822;8 (4217) 59-12-12;stat76@inbox.ru;хабаровский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКОЕ РАДИО-ЕВРАЗИЯ""";"АО ""РУССКОЕ РАДИО-ЕВРАЗИЯ""";Акционерные общества;123100, Г.МОСКВА, НАБ. КРАСНОПРЕСНЕНСКАЯ, Д. 8, ЭТАЖ МИНУС 1 ПОМ I ЧАСТЬ КОМН 6;1027739886294;7710206640;+7 (499) 579-77-09;i.shuvalova@rr.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЦС""";"АО ""РЦС""";Акционерные общества;117556, Г.МОСКВА, ПР-КТ НАХИМОВСКИЙ, Д. 5, К. 2, ОФИС 2;1197746549967;7726457343;+7 (495) 933-77-86;volo4@yandex.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЭДКОМ-ИНТЕРНЕТ""";"АО ""РЭДКОМ-ИНТЕРНЕТ""";Непубличные акционерные общества;680009, ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ. ПРОМЫШЛЕННАЯ, Д. 20, ЛИТЕР Х, ПОМЕЩ. 3;1022700858993;2720023090;+7 421 245-00-45;info@redcom.ru;хабаровский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЭЙС ТЕЛЕКОМ""";"АО ""РЭЙС ТЕЛЕКОМ""";Непубличные акционерные общества;129085, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ОСТАНКИНСКИЙ, Б-Р ЗВЁЗДНЫЙ, Д. 19, СТР. 1;1027700451162;7736174792;8(495) 223-6120;info@altegrosky.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САВА""";"АО ""САВА""";Непубличные акционерные общества;142505, МОСКОВСКАЯ ОБЛАСТЬ, Г. ПАВЛОВСКИЙ ПОСАД, УЛ. ИНТЕРНАЦИОНАЛЬНАЯ, Д.95А, 44;1025004646303;5035005520;+7(49643) 5-40-64;7-vetrov@mtu-net.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САК""";"АО ""САК""";Акционерные общества;109004, Г.МОСКВА, УЛ. СТАНИСЛАВСКОГО, Д.21, СТР.5;1037739405725;7737055082;+7 495 799-97-97;n.smirnova@emg.fm;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЛЮТ""";"АО ""САЛЮТ""";Акционерные общества;443028, САМАРСКАЯ ОБЛАСТЬ, Г САМАРА, Ш МОСКОВСКОЕ (П МЕХЗАВОД), Д. 20;1026300840983;6313034986;(846) 957-01-01;salut-info@yandex.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНКТ-ПЕТЕРБУРГСКАЯ РАДИОКОММУНИКАЦИОННАЯ КОМПАНИЯ""";"АО ""СПБ РКК""";Акционерные общества;", Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ МАЛЫЙ В.О., Д.51, ЛИТ. ""А""";1024701423790;4707004670;(812)323-77-25;rcc2@yandex.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНСИМ""";"АО ""САНСИМ""";Непубличные акционерные общества;127018, Г.МОСКВА, ПР-Д МАРЬИНОЙ РОЩИ 3-Й, Д.40, СТР.1;5107746075014;7715845841;+7 (495) 101-23-10;aosunsim@sunsim.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САТИС-ТЛ-94""";"АО ""САТИС-ТЛ-94""";Акционерные общества;127422, Г.МОСКВА, УЛ ТИМИРЯЗЕВСКАЯ, Д. 1, СТР. 2;1027700007213;7710038932;+7 495 723-81-54;s.zakharov@satis-tl.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САТИССВЯЗЬ""";"АО ""САТИССВЯЗЬ""";Непубличные акционерные общества;127422, Г.МОСКВА, УЛ. ТИМИРЯЗЕВСКАЯ, Д.1, СТР.5;1097746109230;7713682662;(495)9882258;info@sysat.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САХАЛИНСВЯЗЬ""";"АО ""САХАЛИНСВЯЗЬ""";Непубличные акционерные общества;693007, САХАЛИНСКАЯ ОБЛАСТЬ, Г ЮЖНО-САХАЛИНСК, УЛ ИМЕНИ Ф.Э.ДЗЕРЖИНСКОГО, Д. 40, 416;1076501008033;6501186332;+7 424 231-20-00;info@svtc.ru;сахалинская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЯНСКХИМПЛАСТ""";"АО ""САЯНСКХИМПЛАСТ""";Акционерные общества;666301, ИРКУТСКАЯ ОБЛАСТЬ, городской округ ГОРОД САЯНСК, ТЕР. ПРОМЫШЛЕННЫЙ УЗЕЛ ПРОМПЛОЩАДКА, КВ-Л 186, К. 104;1023801910560;3814007314;(39553)4-55-40;mail@sibvinyl.ru;иркутская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЯЗЬ ОБЪЕКТОВ ТРАНСПОРТА И ДОБЫЧИ НЕФТИ""";"АО ""СВЯЗЬТРАНСНЕФТЬ""";Акционерные общества;117420, Г.МОСКВА, УЛ. НАМЁТКИНА, Д. 12, СТР. 1;1027739420961;7723011906;+7 495 950-80-70;stn-info@stn.transneft.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЯЗЬ""";"АО ""СВЯЗЬ""";Акционерные общества;198035, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МОРСКИЕ ВОРОТА, УЛ. МЕЖЕВОЙ КАНАЛ, Д. 3, К. 2, ЛИТЕРА А, ПОМЕЩ. 9-Н, КОМ. 20;1037821033062;7810263434;+7 (812) 665-51-16;kma@wi-fi.click;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЯЗЬИНФОРМ""";"АО ""СВЯЗЬИНФОРМ""";Публичные акционерные общества;117628, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ СЕВЕРНОЕ БУТОВО, УЛ СТАРОБИТЦЕВСКАЯ, Д. 23, К. 1, ПОМЕЩ. II;1087746229075;7710707365;+7 495 500-33-73;edikopol@s-inform.net;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬ ТЕЛЕКОМ""";"АО ""СЕВТЕЛЕКОМ""";Акционерные общества;299011, Г.СЕВАСТОПОЛЬ, УЛ. ГЕНЕРАЛА ПЕТРОВА, Д. 15;1189204003229;9204569240;+7 978 254-29-53;info@sevtelecom.ru;г.севастополь
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕР ТЕЛЕКОМ""";"АО ""СЕВЕР ТЕЛЕКОМ""";Непубличные акционерные общества;199178, Г.САНКТ-ПЕТЕРБУРГ, ЛН. 18-Я В.О., Д. 29, ЛИТЕР И, ОФИС И305;1187847269741;7801651230;(921) 937-99-03;vva@severtm.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРАЛМАЗ""";"АО ""СЕВЕРАЛМАЗ""";Публичные акционерные общества;163046, АРХАНГЕЛЬСКАЯ ОБЛАСТЬ, Г АРХАНГЕЛЬСК, УЛ КАРЛА МАРКСА, Д. 15;1022901494945;2901038518;8182657507, 8182657527;sevalmaz@severalmaz.ru;архангельская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРЕН-ТЕЛЕКОМ""";"АО ""СЕВЕРЕН-ТЕЛЕКОМ""";Непубличные акционерные общества;195112, Г.САНКТ-ПЕТЕРБУРГ, УЛ РЕСПУБЛИКАНСКАЯ, Д. 28, ЛИТЕРА А, ПОМ. 12Н;1037835033598;7816181675;+78127407070;a.tsarikov@severen.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРНЫЙ ПРЕСС""";"АО ""СЕВЕРНЫЙ ПРЕСС""";Публичные акционерные общества;195196, Г.САНКТ-ПЕТЕРБУРГ, УЛ. ТАЛЛИНСКАЯ, Д.7;5067847021556;7806337732;+7 (812) 445-21-36;post@nordpress.spb.su;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРО - ЗАПАДНАЯ ЭНЕРГЕТИЧЕСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""";"АО ""СЗЭУК""";Непубличные акционерные общества;191167, Г.САНКТ-ПЕТЕРБУРГ, ПЛ. АЛЕКСАНДРА НЕВСКОГО, Д. 2, ЛИТЕР Б, ОФИС 1002;1057812496873;7841322263;+7 (812) 595-32-32;document@szeuk.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСВЯЗЬ""";"АО ""СЕВЕРСВЯЗЬ""";Акционерные общества;628634, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, НИЖНЕВАРТОВСКИЙ Р-Н, ПГТ ИЗЛУЧИНСК, УЛ. ЭНЕРГЕТИКОВ, Д.1;1068603044938;8620016950;+7(346)6211743;ssvyaz@ssvyaz.ru;ханты-мансийский автономный округ - югра
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ-ИНФОКОМ""";"АО ""СЕВЕРСТАЛЬ-ИНФОКОМ""";Публичные акционерные общества;162602, ВОЛОГОДСКАЯ ОБЛАСТЬ, Г. ЧЕРЕПОВЕЦ, УЛ. ЛЕНИНА, Д.123, К.А;1023501237330;3528007105;+7 8202 53 62 00;info@stalcom.com;вологодская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕЛЕКТЕЛ""";"АО ""СЕЛЕКТЕЛ""";Непубличные акционерные общества;196006, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МОСКОВСКАЯ ЗАСТАВА, УЛ ЦВЕТОЧНАЯ, Д. 21, ЛИТЕРА А;1247800067790;7810962785;+7 (812) 677-80-36;law@selectel.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕРГИЕВСКАЯ ТЕЛЕРАДИОКОМПАНИЯ ""РАДУГА-3""";"АО ""СЕРГИЕВСКАЯ ТРК ""РАДУГА-3""";Непубличные акционерные общества;446541, САМАРСКАЯ ОБЛАСТЬ, муниципальный район СЕРГИЕВСКИЙ, С.П. СЕРГИЕВСК, С СЕРГИЕВСК, УЛ ЛЕНИНА, ЗД. 87А;1246300023287;6381022940;8 (846 55) 2 18 41, 2 29 59;raduga_3@samtel.ru, Inform777@mail.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕРЕНИТИ ПЛЭТФОРМС""";"АО ""С-ПЛЭТФОРМС""";Непубличные акционерные общества;109316, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ПЕЧАТНИКИ, ПР-КТ ВОЛГОГРАДСКИЙ, Д. 42, К. 24, ЭТАЖ 2, КОМ. 218;1217700089452;9723111990;+7 (499) 128-21-34;info@splf.io;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТИ И СЕРВИСЫ""";"АО ""СЕТИ И СЕРВИСЫ""";Непубличные акционерные общества;109004, Г.МОСКВА, ПЕР НИКОЛОЯМСКИЙ, Д. 4-6, СТР. 3, ПОМЕЩ IV ОФИС 3Б;1037709021690;7709411412;+7 (495) 980-24-15;INFO@SSERV.RU;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЬ ТЕЛЕВИЗИОННЫХ СТАНЦИЙ""";"АО ""СТС""";Акционерные общества;127137, Г.МОСКВА, УЛ. ПРАВДЫ, Д. 15, СТР. 2;1027700151852;7707115217;+7 (495) 797-41-10;DVolkova@mbs.media;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЬТЕЛЕКОМ""";"АО ""СЕТЬТЕЛЕКОМ""";Непубличные акционерные общества;129085, Г.МОСКВА, Б-Р ЗВЁЗДНЫЙ, Д. 19, СТР. 1, ЭТАЖ 8 ОФИС 802;1037739898680;7707503080;+7 499 674 70 20 (доб. 1105);info@altegrosky.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКО-УРАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";"АО ""СУЭНКО""";Акционерные общества;625023, ТЮМЕНСКАЯ ОБЛАСТЬ, Г. ТЮМЕНЬ, УЛ. ОДЕССКАЯ, Д. 27;1027201233620;7205011944;+7 352 263-33-09;TretjakovaAA@suenco.ru;тюменская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГМА-КТВ""";"АО ""СИГМА-КТВ""";Непубличные акционерные общества;629307, ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ, Г. НОВЫЙ УРЕНГОЙ, УЛ. НАБЕРЕЖНАЯ, Д. 44Д;1028900622574;8904031159;(3494) 926-000;office@sigma-ktv.ru;ямало-ненецкий автономный округ
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГНАЛ""";"АО ""СИГНАЛ""";Публичные акционерные общества;454139, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г ЧЕЛЯБИНСК, УЛ НОВОРОССИЙСКАЯ, Д. 2;1117449005310;7449105883;8(351)255-52-78;corp@ao-signal.ru;челябинская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГНАЛ""";"АО ""СИГНАЛ""";Непубличные акционерные общества;309850, БЕЛГОРОДСКАЯ ОБЛАСТЬ, АЛЕКСЕЕВСКИЙ Р-Н, Г АЛЕКСЕЕВКА, УЛ РЕМЕСЛЕННИКОВ, Д. 24;1023101533905;3122004167;8 (910) 220-78-83;volna.a@mail.ru;белгородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИНКЛИТ""";"АО ""СИНКЛИТ""";Акционерные общества;127254, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ БУТЫРСКИЙ, ПРОЕЗД ОГОРОДНЫЙ, Д. 5, СТР. 5;1027700318546;7709359561;+7 (499) 113-13-37;info@sinclit.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИНТЕРРА МЕДИА""";"АО ""СИНТЕРРА МЕДИА""";Непубличные акционерные общества;119415, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ПРОСПЕКТ ВЕРНАДСКОГО, ПР-КТ ВЕРНАДСКОГО, Д. 41;1067746483342;7729545238;+7 (499) 673-44-77;Inbox@synterramedia.ru;г.москва
